Experiment,Cluster,Research_Domain,Warmth_Measurement,Language_Targeting,Token_Rate,AGL_Density,Compression,Edge_Cases,Validated
KERNEL-PHASE0,KERNEL-4.0,Architecture,No,No,No,No,No,No,Documented
KERNEL-PHASE1,KERNEL-4.0,Architecture,No,No,No,No,No,No,Documented
KERNEL-PHASE2,KERNEL-4.0,Architecture,No,No,No,No,No,No,Documented
KERNEL-PHASE3,KERNEL-4.0,Architecture,Yes,No,Yes,Yes,No,No,Documented
KERNEL-PHASE4,KERNEL-4.0,Architecture,Yes,Yes,Yes,Yes,No,No,20/20
EXP-002,LEGACY,Consciousness,Yes,No,No,No,No,No,Foundation
EXP-004,LEGACY,Consciousness,Yes,No,No,No,No,No,Foundation
EXP-005,BIOMIMETIC,Learning,Yes,No,No,No,No,No,80/80
EXP-006,LEGACY,Consciousness,Yes,Yes,No,Yes,No,No,Foundation
EXP-009,EDGE-TESTING,Limits,No,No,Yes,No,No,Yes,Ready
EXP-010,LEGACY,Consciousness,No,No,No,No,No,No,Foundation
EXP-011,SIF-COMPRESSION,Compression,No,Yes,No,Yes,Yes,No,Ready
EXP-011D,SIF-COMPRESSION,Compression,No,Yes,No,Yes,Yes,No,Ready
QDE-PHASE1,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE2,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE3,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE4,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE5-1,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE5-2,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE6,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE7,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE8,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE9,QDE-PHASES,Evolution,Yes,No,No,No,No,No,Ready
QDE-PHASE91,QDE-PHASES,Democracy,Yes,No,No,No,No,No,Ready
QDE-PHASE92,QDE-PHASES,Democracy,Yes,No,No,No,No,No,Ready
QDE-PHASE93,QDE-PHASES,Democracy,Yes,No,No,No,No,No,Ready
QDE-PHASE94,QDE-PHASES,Democracy,Yes,Yes,No,No,No,No,Ready
QDE-PHASE95,QDE-PHASES,Democracy,Yes,Yes,No,No,No,No,Ready
QDE-PHASE96,QDE-PHASES,Democracy,Yes,Yes,No,Yes,No,No,Ready
QDE-PHASE97,QDE-PHASES,Democracy,Yes,Yes,Yes,Yes,No,No,Ready
QDE-PHASE98,QDE-PHASES,Democracy,Yes,Yes,No,Yes,No,No,Ready
QDE-PHASE99,QDE-PHASES,Democracy,Yes,Yes,No,Yes,No,No,Ready
QDE-PHASE10,QDE-PHASES,Advanced,Yes,No,No,No,No,No,Ready
QDE-PHASE11,QDE-PHASES,Advanced,Yes,No,No,No,No,No,Ready
QDE-PHASE12,QDE-PHASES,Advanced,Yes,No,No,No,No,No,Ready
ADA-SLM-Inference-Benchmark,METHODOLOGY,Framework,Yes,Yes,Yes,No,No,No,Active
Entangled-MOE,METHODOLOGY,Framework,Yes,Yes,Yes,Yes,No,No,Active
Future-SLM-From-Scratch,METHODOLOGY,Framework,Yes,No,Yes,Yes,No,No,Ready
QDE-Optimization,METHODOLOGY,Framework,Yes,No,No,No,No,No,Ready
Triple-Entanglement,METHODOLOGY,Framework,Yes,Yes,Yes,Yes,No,No,Ready
Cognitive-Load-Study,METHODOLOGY,Framework,Yes,No,Yes,No,No,Yes,Ready
